timestamp_ms,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3
208826,29.40,-37.35,-4.11,-56.10,-75.15,2.42,-70.20,-63.60,105.51,-17.70,-93.45,37.03
209680,30.75,-35.40,-3.39,-57.00,-74.85,1.94,-70.20,-63.90,105.03,-17.25,-93.00,37.03
210539,31.20,-35.85,-3.87,-57.15,-74.55,2.42,-71.55,-63.45,105.75,-18.30,-97.20,36.30
211393,21.00,-45.60,-6.78,-53.10,-69.75,3.63,-77.55,-72.00,105.03,-14.85,-100.65,37.03
212247,22.95,-54.00,-6.53,-45.15,-65.70,9.92,-76.80,-85.95,96.32,-14.10,-94.50,35.09
213106,23.25,-55.95,-6.29,-45.30,-65.55,11.13,-77.40,-83.55,96.32,-13.95,-94.35,35.82
213960,24.75,-55.95,-6.78,-45.15,-66.15,10.65,-78.60,-83.55,96.80,-11.10,-91.20,37.27
214814,27.45,-53.55,-6.78,-44.40,-64.95,10.65,-76.20,-88.35,97.04,-12.30,-92.70,34.85
215673,30.00,-52.20,-5.57,-45.30,-66.90,11.13,-76.50,-84.30,98.01,-11.85,-96.15,36.30
216527,26.40,-49.35,-5.08,-43.95,-66.00,9.20,-75.15,-84.45,96.32,-11.25,-96.60,38.96
217381,25.35,-50.55,-6.05,-43.95,-66.00,9.92,-76.05,-84.60,96.07,-11.55,-92.25,36.54
218240,27.00,-52.35,-5.81,-43.95,-65.55,9.68,-75.90,-84.90,95.59,-12.30,-94.20,35.33
219094,27.15,-53.40,-6.53,-44.10,-65.70,9.92,-75.60,-84.30,95.35,-12.30,-95.10,35.82
219948,28.20,-53.55,-6.29,-45.15,-66.45,8.95,-76.50,-82.80,95.59,-12.00,-94.65,36.30
220807,28.20,-55.80,-6.53,-45.15,-65.85,10.16,-73.95,-86.55,93.90,-11.55,-94.50,34.36
221661,28.05,-55.80,-7.02,-43.35,-65.25,8.71,-78.15,-77.40,99.95,-18.30,-111.60,34.61
222515,19.20,-48.45,-7.02,-51.60,-70.35,3.63,-83.70,-73.20,105.03,-16.80,-102.90,37.75
223374,19.05,-48.75,-7.50,-52.05,-70.05,3.63,-83.70,-73.65,104.79,-16.80,-103.05,37.03
224228,18.90,-49.05,-6.78,-52.50,-69.60,3.39,-83.40,-73.50,104.54,-17.10,-103.05,37.03
225082,18.60,-49.35,-6.78,-52.35,-69.15,3.39,-83.55,-73.20,104.54,-17.25,-103.50,37.27
225941,18.60,-48.90,-7.02,-52.20,-69.75,3.87,-83.25,-73.50,104.30,-16.95,-103.35,37.27
226795,18.75,-48.90,-7.50,-52.35,-69.45,3.15,-83.70,-73.35,104.54,-16.65,-103.20,36.54
227649,18.60,-48.60,-6.78,-52.20,-69.15,3.39,-83.25,-73.50,104.30,-17.10,-102.90,37.03
228508,18.60,-49.35,-7.02,-52.50,-69.45,3.39,-83.40,-73.65,104.06,-16.80,-102.60,37.03
229362,18.15,-48.90,-7.50,-52.50,-69.00,3.87,-82.35,-73.80,104.54,-17.10,-103.05,37.03
230216,18.45,-49.05,-7.02,-52.65,-69.15,3.63,-82.65,-73.95,104.30,-17.10,-102.75,37.03
231075,18.30,-49.20,-7.02,-52.50,-69.00,3.39,-82.65,-73.20,104.54,-17.55,-102.60,37.51
